Timestamp,Traffic
2019-03-25 15:00:00,944661590
2019-03-25 16:00:00,1069735129
2019-03-25 17:00:00,1216065247
2019-03-25 18:00:00,1263511490
2019-03-25 19:00:00,1202811603
2019-03-25 20:00:00,1283435677
2019-03-25 21:00:00,1114874176
2019-03-25 22:00:00,1400425397
2019-03-25 23:00:00,1182866804
2019-03-26 00:00:00,652216692
2019-03-26 01:00:00,432727383
2019-03-26 02:00:00,255257199
2019-03-26 03:00:00,177643746
2019-03-26 04:00:00,190847138
2019-03-26 05:00:00,119059535
2019-03-26 06:00:00,163040011
2019-03-26 07:00:00,566648180
2019-03-26 08:00:00,968693829
2019-03-26 09:00:00,892512962
2019-03-26 10:00:00,679543448
2019-03-26 11:00:00,738268313
2019-03-26 12:00:00,970114237
2019-03-26 13:00:00,1154281658
2019-03-26 14:00:00,912741369
2019-03-26 15:00:00,823093151
2019-03-26 16:00:00,861238812
2019-03-26 17:00:00,1217553456
2019-03-26 18:00:00,1309369931
2019-03-26 19:00:00,1407472788
2019-03-26 20:00:00,1169128797
2019-03-26 21:00:00,1373909213
2019-03-26 22:00:00,1397556416
2019-03-26 23:00:00,1132116726
2019-03-27 00:00:00,488699830
2019-03-27 01:00:00,460653433
2019-03-27 02:00:00,273504075
2019-03-27 03:00:00,205621820
2019-03-27 04:00:00,171856097
2019-03-27 05:00:00,129744825
2019-03-27 06:00:00,239271968
2019-03-27 07:00:00,587831259
2019-03-27 08:00:00,1061464831
2019-03-27 09:00:00,903970611
2019-03-27 10:00:00,833780041
2019-03-27 11:00:00,910067983
2019-03-27 12:00:00,1029244104
2019-03-27 13:00:00,1285581248
2019-03-27 14:00:00,1008265541
2019-03-27 15:00:00,1022946299
2019-03-27 16:00:00,1106282352
2019-03-27 17:00:00,1278213111
2019-03-27 18:00:00,1365677564
2019-03-27 19:00:00,1248364520
2019-03-27 20:00:00,1270271444
2019-03-27 21:00:00,1377426379
2019-03-27 22:00:00,1471411318
2019-03-27 23:00:00,1033591549
2019-03-28 00:00:00,506931769
2019-03-28 01:00:00,441742798
2019-03-28 02:00:00,300631198
2019-03-28 03:00:00,176696868
2019-03-28 04:00:00,156207796
2019-03-28 05:00:00,116463521
2019-03-28 06:00:00,160316244
2019-03-28 07:00:00,535023926
2019-03-28 08:00:00,880012072
2019-03-28 09:00:00,771120938
2019-03-28 10:00:00,746765244
2019-03-28 11:00:00,811872518
2019-03-28 12:00:00,945535716
2019-03-28 13:00:00,1122766968
2019-03-28 14:00:00,963613504
2019-03-28 15:00:00,980446415
2019-03-28 16:00:00,1016966818
2019-03-28 17:00:00,1121091653
2019-03-28 18:00:00,1308170470
2019-03-28 19:00:00,1300994906
2019-03-28 20:00:00,1291216115
2019-03-28 21:00:00,1134475358
2019-03-28 22:00:00,1247802146
2019-03-28 23:00:00,1029810010
2019-03-29 00:00:00,776120587
2019-03-29 01:00:00,1108029432
2019-03-29 02:00:00,678254985
2019-03-29 03:00:00,240424135
2019-03-29 04:00:00,254122732
2019-03-29 05:00:00,86492199
2019-03-29 06:00:00,179397761
2019-03-29 07:00:00,502116376
2019-03-29 08:00:00,941006921
2019-03-29 09:00:00,770434055
2019-03-29 10:00:00,830290080
2019-03-29 11:00:00,782517735
2019-03-29 12:00:00,870632900
2019-03-29 13:00:00,1300823043
2019-03-29 14:00:00,932718775
2019-03-29 15:00:00,971258866
2019-03-29 16:00:00,1048340758
2019-03-29 17:00:00,1187653941
2019-03-29 18:00:00,1351193147
2019-03-29 19:00:00,1292330445
2019-03-29 20:00:00,1211584768
2019-03-29 21:00:00,1308786441
2019-03-29 22:00:00,1359057427
2019-03-29 23:00:00,1105992457
